Year,Yearly Anomaly
1850,-0.32625
1851,-0.21516666666666664
1852,-0.2535
1853,-0.19866666666666666
1854,-0.09358333333333334
1855,-0.03283333333333333
1856,-0.07575
1857,-0.36525
1858,-0.2803333333333333
1859,-0.22775
1860,-0.2743333333333334
1861,-0.40075
1862,-0.5065833333333334
1863,-0.3685833333333333
1864,-0.30275
1865,-0.14341666666666666
1866,-0.1435
1867,-0.13158333333333333
1868,-0.013333333333333336
1869,-0.05216666666666666
1870,-0.17033333333333334
1871,-0.1865
1872,-0.21058333333333334
1873,-0.22183333333333333
1874,-0.30383333333333334
1875,-0.28491666666666665
1876,-0.33
1877,0.11508333333333333
1878,0.29275
1879,-0.1735
1880,-0.3309166666666667
1881,-0.13758333333333334
1882,-0.21383333333333332
1883,-0.2825
1884,-0.43025
1885,-0.434
1886,-0.39549999999999996
1887,-0.4310833333333333
1888,-0.1885
1889,-0.052916666666666674
1890,-0.36308333333333337
1891,-0.3319166666666667
1892,-0.3506666666666667
1893,-0.29733333333333334
1894,-0.28391666666666665
1895,-0.22116666666666665
1896,-0.11958333333333333
1897,-0.12008333333333333
1898,-0.31283333333333335
1899,-0.11675
1900,-0.06725
1901,-0.1625
1902,-0.25933333333333336
1903,-0.4211666666666667
1904,-0.47425
1905,-0.3336666666666666
1906,-0.14216666666666666
1907,-0.40199999999999997
1908,-0.4816666666666667
1909,-0.43850000000000006
1910,-0.3686666666666667
1911,-0.44658333333333333
1912,-0.3443333333333333
1913,-0.3638333333333333
1914,-0.10508333333333332
1915,-0.0019166666666666644
1916,-0.29591666666666666
1917,-0.45999999999999996
1918,-0.32733333333333337
1919,-0.28458333333333335
1920,-0.21958333333333332
1921,-0.13125
1922,-0.2568333333333333
1923,-0.16533333333333333
1924,-0.16816666666666666
1925,-0.15133333333333335
1926,-0.018166666666666668
1927,-0.10916666666666668
1928,-0.08633333333333333
1929,-0.31116666666666665
1930,-0.053
1931,-0.018583333333333337
1932,-0.020916666666666667
1933,-0.2708333333333333
1934,-0.06883333333333333
1935,-0.11766666666666666
1936,-0.079
1937,0.053
1938,0.11666666666666665
1939,0.09800000000000002
1940,0.13041666666666665
1941,0.07091666666666667
1942,0.08641666666666666
1943,0.06583333333333334
1944,0.2693333333333333
1945,0.1095
1946,-0.021166666666666667
1947,0.011916666666666671
1948,-0.015166666666666667
1949,-0.0605
1950,-0.15916666666666665
1951,-0.005333333333333333
1952,0.075
1953,0.18191666666666664
1954,-0.07816666666666666
1955,-0.08975
1956,-0.2185
1957,0.05758333333333334
1958,0.08066666666666666
1959,0.05983333333333333
1960,-0.055499999999999994
1961,0.07841666666666666
1962,0.0030833333333333316
1963,0.09508333333333334
1964,-0.22766666666666668
1965,-0.11983333333333335
1966,-0.052083333333333336
1967,-0.021083333333333332
1968,-0.10266666666666667
1969,0.001166666666666663
1970,0.006916666666666664
1971,-0.07533333333333334
1972,-0.029333333333333333
1973,0.20416666666666664
1974,-0.11675
1975,0.04441666666666667
1976,-0.15483333333333335
1977,0.22491666666666668
1978,0.07666666666666667
1979,0.14341666666666666
1980,0.33499999999999996
1981,0.41408333333333336
1982,0.10966666666666665
1983,0.3521666666666667
1984,0.12291666666666667
1985,0.11483333333333334
1986,0.21291666666666667
1987,0.3480833333333333
1988,0.44016666666666665
1989,0.27208333333333334
1990,0.5011666666666666
1991,0.48550000000000004
1992,0.23483333333333334
1993,0.28125
1994,0.36316666666666664
1995,0.5646666666666667
1996,0.3853333333333333
1997,0.5179166666666667
1998,0.6970000000000001
1999,0.47833333333333333
2000,0.44225000000000003
2001,0.62325
2002,0.7304166666666667
2003,0.7086666666666667
2004,0.5925833333333334
2005,0.8100833333333334
2006,0.7087500000000001
2007,0.7674166666666666
2008,0.5994166666666666
2009,0.71975
2010,0.8262499999999999
2011,0.6845833333333333
2012,0.7001666666666666
2013,0.7448333333333333
2014,0.78525
2015,0.9768333333333333
2016,1.1218333333333332
2017,1.0068333333333332
2018,0.9082499999999999
2019,1.0529166666666667
2020,1.11775
2021,0.9355000000000001
2022,0.9641666666666667
2023,0.963
