Year,GMSL_GIA
1993,-38.59
1993,-41.97
1993,-41.91
1993,-42.65
1993,-37.83
1993,-36.05
1993,-36.06
1993,-35.47
1993,-35.41
1993,-39.19
1993,-37.45
1993,-34.45
1993,-36.55
1993,-38.71
1993,-40.13
1993,-38.21
1993,-35.92
1993,-35.1
1993,-35.26
1993,-35.68
1993,-28.32
1993,-35.52
1993,-33.99
1993,-30.11
1993,-29.61
1993,-30.36
1993,-31.81
1993,-28.62
1993,-26.4
1993,-29.15
1993,-30.73
1993,-31.3
1993,-32.25
1993,-34.09
1993,-32.03
1993,-28.13
1993,-30.89
1994,-33.08
1994,-30.61
1994,-29.04
1994,-33.83
1994,-37.14
1994,-36.51
1994,-31.97
1994,-34.94
1994,-28.38
1994,-31.61
1994,-31.37
1994,-32.98
1994,-34.28
1994,-34.86
1994,-37.59
1994,-35.11
1994,-32.26
1994,-39.96
1994,-38.21
1994,-32.43
1994,-31.08
1994,-30.95
1994,-31.28
1994,-28.47
1994,-26.6
1994,-24.97
1994,-25.76
1994,-26.68
1994,-25.13
1994,-22.93
1994,-25.17
1994,-19.56
1994,-27.93
1994,-31.64
1994,-27.37
1994,-25.5
1994,-24.44
1995,-24.23
1995,-27.09
1995,-24.75
1995,-29.96
1995,-33.53
1995,-28.38
1995,-28.47
1995,-23.37
1995,-30.05
1995,-30.8
1995,-30.73
1995,-29.58
1995,-37.42
1995,-32.88
1995,-31.2
1995,-28.52
1995,-31.5
1995,-32.73
1995,-28.64
1995,-31.77
1995,-30.32
1995,-29.58
1995,-27.58
1995,-26.45
1995,-23.7
1995,-22.19
1995,-16.76
1995,-22.36
1995,-23.4
1995,-29.65
1995,-23.9
1995,-24.89
1995,-23.28
1995,-43.14
1995,-26.81
1995,-21.11
1995,-26
1996,-29.84
1996,-31.53
1996,-32.89
1996,-26.79
1996,-30.4
1996,-26.69
1996,-30.07
1996,-28.23
1996,-28.28
1996,-31.57
1996,-31.6
1996,-28.76
1996,-28.73
1996,-30.14
1996,-28.26
1996,-27.99
1996,-32.85
1996,-27.28
1996,-26.88
1996,-25.4
1996,-21.22
1996,-23.28
